formula,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,YS
Al0.053 Cu1 Mn1 Ni1,Al0.053 Cu1 Mn1 Ni1,4,0.567593025317817,0.47241186617913944,0.4080350390914247,0.38320694819002005,0.3655824349930923,13.0,29.0,16.0,27.08450704225352,1.8545600494549348,25.0,52.0,73.0,21.0,59.243039633147724,4.744867103273975,52.0,26.9815386,63.546,36.5644614,58.502281868915816,3.429306427886248,54.938045,933.47,1728.0,794.53,1524.4821192269899,133.32321046381276,1357.77,7.0,13.0,6.0,9.396986570586309,1.5702499643539525,7.0,3.0,4.0,1.0,3.982640026203734,0.03411721021211807,4.0,121.0,139.0,18.0,131.48149361283984,5.2649936287719195,124.0,1.55,1.91,0.3599999999999999,1.7835997379626598,0.15905700889268293,1.55,1.0,2.0,1.0,1.6724533245987554,0.44051970166967264,1.0,0.0,1.0,1.0,0.017359973796265967,0.03411721021211785,0.0,0.0,10.0,10.0,7.533573534228628,1.9212924543352405,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.223386832623648,1.6726015949903064,7.0,0.0,1.0,1.0,0.32754667540124466,0.44051970166967264,0.0,0.0,5.0,5.0,0.08679986898132984,0.17058605106058927,0.0,0.0,5.0,5.0,2.2928267278087127,1.77345121008273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.7071732721912873,1.581622367757992,1.0,10.32,16.48,6.16,10.727489750049132,0.4241030417283095,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.1951211335373911,0.2622165518916534,0.0,217.0,225.0,8.0,222.37962659679002,3.52415761335739,217.0,1.6724533245987554,0.017359973796265967,7.533573534228628,0.0,False,0.031880743083437246,0.006908853456514045,Al0.008006504842468622 Cu0.3557857979229833 Mn0.30759097624797416 Ni0.32861672098657396 ,Al0.017359973796265967Cu0.32754667540124466Mn0.32754667540124466Ni0.32754667540124466,0.025562803681737942,15.48516908214082,-0.001533133322668274,1.509203761175666,1.0712353829598522,-0.009703427372685263,58.502281868915816,178.60746654579998,-14.849375523389268,0.07599212405710583,0.16945953940264197,9.396986570586307,0.9552818859392995,3.6127317392728466,15.0,1.0,1.0,13.0,0.0,64.89003275466753,0.23446154582711873,7.40035441129627,-0.026631648743613186,330.0
Al0.111 Cu1 Mn1 Ni1,Al0.111 Cu1 Mn1 Ni1,4,0.5578926163524236,0.46366721305513814,0.4004282671268914,0.376062624341106,0.35876669046752435,13.0,29.0,16.0,26.821922211507555,2.1576056425489503,25.0,52.0,73.0,21.0,59.49951783992286,4.821290800336132,52.0,26.9815386,63.546,36.5644614,57.91462416734169,4.12095896195218,54.938045,933.47,1728.0,794.53,1513.4635711989713,141.4804613320844,1357.77,7.0,13.0,6.0,9.46415943426551,1.584159070566062,7.0,3.0,4.0,1.0,3.964320154291225,0.06881358863794634,4.0,121.0,139.0,18.0,131.2860816457731,5.418088530024983,124.0,1.55,1.91,0.3599999999999999,1.7803632272581165,0.16025300256108463,1.55,1.0,2.0,1.0,1.6785599485695917,0.4362326895336496,1.0,0.0,1.0,1.0,0.03567984570877532,0.06881358863794661,0.0,0.0,10.0,10.0,7.39312118289939,2.0660608384450154,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.107360977177757,1.7905998364799016,7.0,0.0,1.0,1.0,0.32144005143040827,0.4362326895336495,0.0,0.0,5.0,5.0,0.1783992285438766,0.34406794318973305,0.0,0.0,5.0,5.0,2.250080360012858,1.7678686210139138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.7499196399871426,1.6070969334453777,1.0,10.32,16.48,6.16,10.834736807103827,0.5540902650643853,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.19148338819982483,0.259666545676744,0.0,217.0,225.0,8.0,222.42847958855677,3.4898615162691837,217.0,1.6785599485695917,0.03567984570877532,7.39312118289939,0.0,False,0.031880743083437246,0.006917049779782147,Al0.016622695011396356 Cu0.3526955376447934 Mn0.304919323300111 Ni0.3257624440436993 ,Al0.03567984570877532Cu0.32144005143040827Mn0.32144005143040827Ni0.32144005143040827,0.028632345283811617,7.92401613423081,-0.003648284027730669,1.6871728061096551,1.0711878854573438,-0.010088012632708608,57.91462416734168,180.17239578459998,-12.305287700845069,0.07675152652392836,0.17218895715486193,9.46415943426551,1.9267804818625054,3.6085792349726775,15.0,1.0,1.0,13.0,0.0,64.17598521375763,0.24833626794224664,7.827724457578954,-0.03135910844391912,515.0
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,7,0.4014436757421748,0.3015585198576135,0.24305991955698575,0.22274120016541823,0.2091514725403302,13.0,29.0,16.0,25.636363636363637,2.40495867768595,24.0,43.0,73.0,30.0,56.5,5.7272727272727275,49.0,26.9815386,63.546,36.5644614,55.23746902727273,5.0874858719008245,51.9961,933.47,2180.0,1246.53,1765.3081818181818,200.33504132231403,1728.0,4.0,13.0,9.0,8.454545454545455,1.8677685950413225,6.0,3.0,4.0,1.0,3.9545454545454546,0.08677685950413219,4.0,121.0,160.0,39.0,132.77272727272728,7.2148760330578545,124.0,1.54,1.91,0.3699999999999999,1.795909090909091,0.11285123966942147,1.66,1.0,2.0,1.0,1.6818181818181819,0.4338842975206612,1.0,0.0,1.0,1.0,0.045454545454545456,0.08677685950413223,0.0,0.0,10.0,10.0,6.2727272727272725,1.9090909090909092,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.0,1.9090909090909092,6.0,0.0,1.0,1.0,0.3181818181818182,0.4338842975206612,0.0,0.0,5.0,5.0,0.22727272727272727,0.43388429752066116,0.0,0.0,8.0,8.0,3.272727272727273,1.7520661157024795,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.8181818181818183,1.7272727272727273,2.0,10.245,16.69,6.445000000000002,11.500454545454547,1.3962396694214887,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7735527212121212,0.7680103845730027,0.0,194.0,229.0,35.0,218.0,13.090909090909092,194.0,1.6818181818181819,0.045454545454545456,6.2727272727272725,0.0,False,0.033645949486530435,0.004014143531150287,Al0.02220292845281775 Co0.1939829349955538 Cr0.17114897786081879 Cu0.15687474080474675 Fe0.1838179145866214 Ni0.1931936321604155 Ti0.07877887113902593 ,Al0.045454545454545456Co0.18181818181818182Cr0.18181818181818182Cu0.13636363636363635Fe0.18181818181818182Ni0.18181818181818182Ti0.09090909090909091,0.042994068140187275,3.7694900745697235,-0.007863220819112575,2.477272727272727,1.081058207173005,-0.01554721513376999,55.23746902727273,303.80607965,-8.410765551804985,0.0878783094908234,0.22580578512396693,8.454545454545455,7.2809917355371905,4.199999999999999,31.0,2.0,1.0,28.0,0.0,74.5190909090909,0.3467864743471957,13.92285123966942,-0.06248154738550585,750.0
Al0.25 Mo1 Nb1 Ti1 V1,Al0.25 Mo1 Nb1 Ti1 V1,5,0.47425045578226765,0.3739918341020118,0.3104876079009688,0.2868273673943497,0.2702819723256788,13.0,42.0,29.0,30.88235294117647,9.993079584775087,22.0,43.0,73.0,30.0,48.05882352941177,3.8477508650519043,43.0,26.9815386,95.96,68.97846139999999,69.2753563882353,23.67796104636678,47.867,933.47,2896.0,1962.53,2353.7335294117647,441.6625605536332,1941.0,4.0,13.0,9.0,5.470588235294118,1.1349480968858132,4.0,3.0,5.0,2.0,4.411764705882353,0.5536332179930796,4.0,121.0,164.0,43.0,155.58823529411765,6.034602076124568,153.0,1.54,2.16,0.6200000000000001,1.7252941176470586,0.20456747404844286,1.54,1.0,2.0,1.0,1.5294117647058822,0.49826989619377166,1.0,0.0,1.0,1.0,0.058823529411764705,0.11072664359861593,0.0,0.0,5.0,5.0,3.2941176470588234,1.134948096885813,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.882352941176471,0.6366782006920414,4.0,0.0,1.0,1.0,0.47058823529411764,0.49826989619377166,0.0,0.0,5.0,5.0,0.29411764705882354,0.5536332179930796,0.0,0.0,8.0,8.0,6.117647058823529,1.301038062283737,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.882352941176471,0.6366782006920414,6.0,13.01,18.18,5.17,15.92705882352941,1.4842906574394468,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.3019607843058825e-06,8.108881199526643e-06,0.0,194.0,229.0,35.0,220.52941176470588,12.484429065743944,194.0,1.5294117647058822,0.058823529411764705,3.2941176470588234,0.0,False,0.09162682579073211,0.014203024566569408,Al0.02291229139355327 Mo0.32588285922249083 Nb0.3155784527247367 Ti0.16259156579531966 V0.17303483086389948 ,Al0.058823529411764705Mo0.23529411764705882Nb0.23529411764705882Ti0.23529411764705882V0.23529411764705882,0.024456162037162964,4.781040591318444,-0.009479430499877017,1.8269896193771626,1.0398928735228121,-0.01270766391344736,69.2753563882353,294.40026465,-21.246583962371357,0.07204111574849534,0.16678200692041534,5.470588235294118,6.256055363321799,5.975882352941176,17.0,2.0,1.0,14.0,0.0,57.82529411764706,0.562051634899937,15.243598615916955,-0.12813129184112224,1250.0
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,6,0.42567978010107466,0.32321667540000276,0.2603516500228261,0.2374541159084913,0.22162624185058363,13.0,73.0,60.0,47.528301886792455,18.84656461374155,22.0,43.0,73.0,30.0,46.9622641509434,3.3535065859736566,43.0,26.9815386,180.94788,153.9663414,113.11881539245283,50.264244986828054,47.867,933.47,3290.0,2356.5299999999997,2433.026603773585,470.535920256319,1941.0,4.0,13.0,9.0,4.886792452830188,1.0039159843360626,4.0,3.0,6.0,3.0,5.0754716981132075,0.6977572089711641,4.0,121.0,175.0,54.0,166.0943396226415,8.195087219651121,160.0,1.3,1.61,0.31000000000000005,1.4628301886792454,0.11156995372018509,1.3,1.0,2.0,1.0,1.8113207547169812,0.30615877536489855,1.0,0.0,1.0,1.0,0.05660377358490566,0.10679957280170879,0.0,0.0,4.0,4.0,2.452830188679245,0.7903168387326451,2.0,0.0,14.0,14.0,5.283018867924529,6.578853684585261,0.0,3.0,19.0,16.0,9.60377358490566,6.714133143467427,4.0,0.0,1.0,1.0,0.18867924528301888,0.30615877536489855,0.0,0.0,5.0,5.0,0.2830188679245283,0.533997864008544,0.0,0.0,8.0,8.0,6.981132075471699,1.1605553577785686,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.452830188679245,0.619437522249911,7.0,16.48,23.195,6.715,19.496037735849058,2.416197935208259,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,4.251572327037736e-06,6.898777738212176e-06,0.0,194.0,229.0,35.0,208.9622641509434,16.938412246351017,194.0,1.8113207547169812,0.05660377358490566,2.452830188679245,5.283018867924529,False,0.02373869707974785,0.003594365065352106,Al0.013501351623849212 Hf0.29771668288539166 Nb0.15496542816118378 Ta0.30181636287043473 Ti0.07984091243024842 Zr0.15215926202889218 ,Al0.05660377358490566Hf0.18867924528301888Nb0.18867924528301888Ta0.18867924528301888Ti0.18867924528301888Zr0.18867924528301888,0.04902754691451272,8.806520401358936,-0.0036449432730614687,3.7842648629405486,1.0712105318732297,-0.014431908651129232,113.11881539245285,599.52972158,-6.0040381540796846,0.06588987304267127,0.13937344250622993,4.886792452830188,3.987184051263794,6.457924528301888,15.0,1.0,1.0,13.0,0.0,45.39000000000001,0.2920489106723441,7.084798860804556,-0.04031780026908745,1188.0
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,5,0.5152147311625113,0.44896736219956224,0.4302120499369628,0.42892764106666426,0.4288193423655222,13.0,29.0,16.0,25.572469982847345,3.590593914483845,28.0,55.0,73.0,18.0,61.85677530017153,3.794500557534961,61.0,26.9815386,63.546,36.5644614,54.485509986620926,7.854907780227073,58.6934,933.47,1811.0,877.53,1579.2409605488851,247.67715242329118,1728.0,8.0,13.0,5.0,10.142795883361922,1.0608044096749236,10.0,3.0,4.0,1.0,3.8572041166380795,0.24481043811361908,4.0,121.0,132.0,11.0,126.14193825042882,3.3460284092747954,124.0,1.61,1.91,0.2999999999999998,1.8500257289879933,0.07426855532247276,1.91,1.0,2.0,1.0,1.8572041166380788,0.24481043811361955,2.0,0.0,1.0,1.0,0.14279588336192112,0.2448104381136195,0.0,0.0,10.0,10.0,6.71483704974271,2.1218537522544128,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.71483704974271,1.8362619855305702,10.0,0.0,1.0,1.0,0.14279588336192112,0.24481043811361947,0.0,0.0,5.0,5.0,0.7139794168096055,1.2240521905680974,0.0,0.0,4.0,4.0,1.8572041166380793,1.0608044096749234,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.713979416809606,1.1018306711897121,2.0,10.245,16.48,6.235000000000001,11.35455617495712,1.4637845572378052,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7778243233276159,0.6007380983394579,0.5953947,194.0,229.0,35.0,221.14451114922818,7.75224889596306,225.0,1.8572041166380788,0.14279588336192112,6.71483704974271,0.0,False,0.022248762806663658,0.0025530400816167424,Al0.07071334451667703 Co0.1544523973700858 Cu0.16654165862345444 Fe0.14635884124613371 Ni0.46193375824364913 ,Al0.14279588336192112Co0.14279588336192112Cu0.14279588336192112Fe0.14279588336192112Ni0.42881646655231564,0.042096092740815445,3.249542453617988,0.00422828775895791,2.040107395355543,1.0764396716149953,-0.0122615452877106,54.485509986620926,127.0602092888,-6.91929156813247,0.07730148082879028,0.1946567519101825,10.142795883361922,5.958972635183841,4.1244210977701545,23.0,1.0,1.0,21.0,0.0,64.97717838765008,0.2952130682251125,9.277730214864265,-0.04871812837862153,268.0
Al0.4 Co1 Cu0.6 Ni1 Si0.2,Al0.4 Co1 Cu0.6 Ni1 Si0.2,5,0.5,0.4117832671579916,0.36208408076879567,0.3457539659133172,0.33503208188356487,13.0,29.0,16.0,25.124999999999996,4.421875000000002,27.0,58.0,78.0,20.0,63.18749999999999,4.609374999999998,58.0,26.9815386,63.546,36.5644614,53.8012220125,9.919386104687499,58.6934,933.47,1768.0,834.53,1569.2031249999995,238.22070312500017,1728.0,9.0,14.0,5.0,10.499999999999998,1.2499999999999996,9.0,3.0,4.0,1.0,3.8124999999999996,0.3046875000000003,4.0,111.0,132.0,21.0,124.9375,3.3124999999999996,124.0,1.61,1.91,0.2999999999999998,1.8606249999999998,0.06265625000000008,1.88,1.0,2.0,1.0,1.8125000000000002,0.30468749999999983,2.0,0.0,2.0,2.0,0.25,0.40625,0.0,0.0,10.0,10.0,6.5625,2.4609375,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.624999999999998,1.984375000000001,9.0,0.0,1.0,1.0,0.18749999999999997,0.3046875,0.0,0.0,5.0,5.0,0.8749999999999999,1.4218749999999998,0.0,0.0,3.0,3.0,1.5625,1.171875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.625,1.0,2.0,10.245,20.44,10.195000000000002,11.8396875,2.2351171875,10.245,0.0,0.773,0.773,0.0483125,0.09058593749999999,0.0,0.0,1.5484712,1.5484712,0.66995809375,0.54907069140625,0.5953947,194.0,227.0,33.0,215.43749999999997,13.39843750000001,194.0,1.8125000000000002,0.25,6.5625,0.0,False,0.022248762806663658,0.0022564660312231295,Al0.06268802452510093 Co0.34230864557725366 Cu0.22146104780355616 Ni0.34091581592214676 Si0.032626466171942516 ,Al0.125Co0.3125Cu0.18749999999999997Ni0.3125Si0.0625,0.05248293210049881,1.6388660077965183,0.01218291428323165,2.75390625,1.1606524075286404,-0.012255308445321423,53.8012220125,172.16391044,-4.449262876812411,0.07722590290434736,0.1962890625,10.5,11.734375,4.126875,19.0,1.0,3.0,15.0,0.0,61.603125000000006,0.3076280276920667,9.566679687499999,-0.052848183050455945,588.0
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,5,0.4714045207910317,0.38157141418444396,0.3412787518465365,0.3348018758685008,0.3334633133494761,13.0,29.0,16.0,25.166666666666668,4.0555555555555545,28.0,55.0,73.0,18.0,62.0,4.333333333333333,61.0,26.9815386,63.546,36.5644614,53.782088933333334,8.933516777777776,58.6934,933.47,1811.0,877.53,1554.3733333333332,272.50222222222226,1728.0,8.0,13.0,5.0,10.166666666666666,1.222222222222222,10.0,3.0,4.0,1.0,3.8333333333333335,0.2777777777777777,4.0,121.0,132.0,11.0,126.5,3.6666666666666665,124.0,1.61,1.91,0.2999999999999998,1.84,0.07999999999999989,1.91,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,1.0,1.0,0.16666666666666666,0.2777777777777778,0.0,0.0,10.0,10.0,6.5,2.3333333333333335,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.5,2.0,10.0,0.0,1.0,1.0,0.16666666666666666,0.2777777777777778,0.0,0.0,5.0,5.0,0.8333333333333334,1.3888888888888886,0.0,0.0,4.0,4.0,1.8333333333333333,1.2222222222222223,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.8333333333333335,1.1666666666666665,2.0,10.245,16.48,6.235000000000001,11.527500000000002,1.6508333333333345,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8083205666666666,0.6808309555555555,0.5953947,194.0,229.0,35.0,220.5,8.833333333333334,225.0,1.8333333333333333,0.16666666666666666,6.5,0.0,False,0.022248762806663658,0.0028065694287987986,Al0.08361376787677867 Co0.18262955867783362 Cu0.19692429598873123 Fe0.17305947360165386 Ni0.3637729038550026 ,Al0.16666666666666666Co0.16666666666666666Cu0.16666666666666666Fe0.16666666666666666Ni0.3333333333333333,0.04491525627872708,3.424950694900334,0.0009088511401553941,2.3055555555555545,1.0763728943916029,-0.012975746340770252,53.78208893333333,161.3462668,-6.431978484345533,0.0797473015907748,0.20611111111111108,10.166666666666666,5.888888888888889,4.071666666666666,23.0,1.0,1.0,21.0,0.0,63.29333333333333,0.319784487679498,10.236666666666663,-0.05474391688841021,544.0
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,7,0.39626354032187944,0.2973696645625991,0.24102471276430418,0.22182390561005783,0.20886953826559032,13.0,29.0,16.0,24.90909090909091,3.0247933884297513,24.0,43.0,73.0,30.0,56.90909090909091,6.099173553719009,49.0,26.9815386,63.546,36.5644614,53.57544805454545,6.4474642942148765,51.9961,933.47,2180.0,1246.53,1746.0218181818184,224.88132231404953,1728.0,4.0,13.0,9.0,8.545454545454545,1.9504132231404958,6.0,3.0,4.0,1.0,3.909090909090909,0.16528925619834703,4.0,121.0,160.0,39.0,132.27272727272728,7.487603305785128,124.0,1.54,1.91,0.3699999999999999,1.7827272727272727,0.12016528925619832,1.66,1.0,2.0,1.0,1.7272727272727273,0.396694214876033,1.0,0.0,1.0,1.0,0.09090909090909091,0.1652892561983471,0.0,0.0,10.0,10.0,5.818181818181818,2.0495867768595044,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.636363636363637,2.0991735537190084,6.0,0.0,1.0,1.0,0.2727272727272727,0.396694214876033,0.0,0.0,5.0,5.0,0.45454545454545453,0.8264462809917356,0.0,0.0,8.0,8.0,3.272727272727273,1.7520661157024795,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.0,1.6363636363636365,2.0,10.245,16.69,6.445000000000002,11.746363636363638,1.759504132231406,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7735527212121212,0.7680103845730027,0.0,194.0,229.0,35.0,218.0,13.090909090909092,194.0,1.7272727272727273,0.09090909090909091,5.818181818181818,0.0,False,0.033645949486530435,0.004238834917222423,Al0.04578341823585439 Co0.20000068599943835 Cr0.17645837238750411 Cu0.10782754602495512 Fe0.1895203256778906 Ni0.1991868973613162 Ti0.08122275431304135 ,Al0.09090909090909091Co0.18181818181818182Cr0.18181818181818182Cu0.09090909090909091Fe0.18181818181818182Ni0.18181818181818182Ti0.09090909090909091,0.047007884284770526,2.535377520300378,-0.0013291245934099068,2.8760330578512394,1.0809031740969721,-0.015744955364099922,53.575448054545454,294.66496429999995,-7.125248636118447,0.0905010696450694,0.2335537190082644,8.545454545454545,10.84297520661157,4.195454545454545,31.0,2.0,1.0,28.0,0.0,73.67636363636363,0.3672880680111722,14.602809917355371,-0.07127138227745894,1580.0
Al0.5 Cr1 Fe1 Mn1 Ni1,Al0.5 Cr1 Fe1 Mn1 Ni1,5,0.4581228472908512,0.3563927033328696,0.293680717557935,0.27096744364926284,0.25527253251330995,13.0,28.0,15.0,24.333333333333332,2.666666666666667,24.0,49.0,73.0,24.0,56.333333333333336,5.777777777777779,49.0,26.9815386,58.6934,31.711861399999997,52.21406984444444,5.7041046518518534,51.9961,933.47,2180.0,1246.53,1712.1633333333334,258.8933333333333,1519.0,6.0,13.0,7.0,8.333333333333334,1.7777777777777777,6.0,3.0,4.0,1.0,3.888888888888889,0.1975308641975309,4.0,121.0,139.0,18.0,132.11111111111111,6.123456790123457,124.0,1.55,1.91,0.3599999999999999,1.7233333333333334,0.13037037037037036,1.55,1.0,2.0,1.0,1.7777777777777777,0.34567901234567905,1.0,0.0,1.0,1.0,0.1111111111111111,0.1975308641975309,0.0,0.0,8.0,8.0,5.333333333333333,1.4814814814814814,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.222222222222222,1.5802469135802468,6.0,0.0,1.0,1.0,0.2222222222222222,0.34567901234567905,0.0,0.0,5.0,5.0,0.5555555555555556,0.9876543209876542,0.0,0.0,5.0,5.0,3.5555555555555554,1.4814814814814816,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.333333333333333,1.1851851851851853,2.0,10.32,16.48,6.16,11.3261302682,1.1453043848444446,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6014150268199233,0.670776788080034,0.0,217.0,229.0,12.0,225.0,3.5555555555555554,217.0,1.7777777777777777,0.1111111111111111,5.333333333333333,0.0,False,0.031880743083437246,0.004766010533361328,Al0.05741649218811688 Cr0.22129454615034772 Fe0.23767540122751837 Mn0.23381541566891326 Ni0.24979814476510387 ,Al0.1111111111111111Cr0.2222222222222222Fe0.2222222222222222Mn0.2222222222222222Ni0.2222222222222222,0.037252896519767174,2.4242645600756596,-0.007215096757923077,2.493827160493827,1.076052168084948,-0.01314521343892854,52.21406984444444,234.96331429999998,-9.47212782281956,0.06931056724519645,0.18493827160493823,8.333333333333332,9.28395061728395,3.874444444444445,26.0,1.0,1.0,24.0,0.0,80.68555555555555,0.3097077467157566,12.4279012345679,-0.05356020465999775,1091.0
