No,class,HV,Al,Co,Cr,Cu,Fe,Ni,Mn,Mo,Ti,V
1,2,220,0,0.222,0.222,0,0.222,0.222,0,0.111,0,0
2,2,440,0.1,0.2,0.2,0,0.2,0.2,0,0.1,0,0
3,1,801,0.2,0.1,0.2,0,0.2,0.2,0,0.1,0,0
4,1,755,0.2,0.2,0.2,0,0.1,0.2,0,0.1,0,0
5,1,754,0.196,0.196,0.196,0,0.118,0.196,0,0.098,0,0
6,1,708,0.2,0.2,0.2,0,0.2,0.1,0,0.1,0,0
7,1,586,0.167,0.167,0.167,0,0.167,0.25,0,0.083,0,0
8,2,395,0.154,0.154,0.154,0,0.154,0.308,0,0.077,0,0
9,1,741,0.167,0.25,0.167,0,0.167,0.167,0,0.083,0,0
10,1,586,0.154,0.308,0.154,0,0.154,0.154,0,0.077,0,0
11,1,635,0.167,0.167,0.167,0,0.25,0.167,0,0.083,0,0
12,1,639,0.154,0.154,0.154,0,0.308,0.154,0,0.077,0,0
13,1,665,0.25,0.167,0.167,0,0.167,0.167,0,0.083,0,0
14,1,615,0.308,0.154,0.154,0,0.154,0.154,0,0.077,0,0
15,2,151,0,0.19,0.19,0,0.19,0.19,0.19,0,0,0.048
16,2,186,0,0.182,0.182,0,0.182,0.182,0.182,0,0,0.091
17,2,342,0,0.174,0.174,0,0.174,0.174,0.174,0,0,0.13
18,1,650,0,0.167,0.167,0,0.167,0.167,0.167,0,0,0.167
19,2,180,0.02,0.196,0.196,0,0.196,0.196,0.196,0,0,0
20,2,171,0.038,0.192,0.192,0,0.192,0.192,0.192,0,0,0
21,2,182,0.071,0.186,0.186,0,0.186,0.186,0.186,0,0,0
22,2,183,0.079,0.184,0.184,0,0.184,0.184,0.184,0,0,0
23,2,220,0.089,0.182,0.182,0,0.182,0.182,0.182,0,0,0
24,2,278,0.101,0.18,0.18,0,0.18,0.18,0.18,0,0,0
25,2,405,0.11,0.178,0.178,0,0.178,0.178,0.178,0,0,0
26,2,486,0.12,0.176,0.176,0,0.176,0.176,0.176,0,0,0
27,1,530,0.13,0.174,0.174,0,0.174,0.174,0.174,0,0,0
28,1,539,0.139,0.172,0.172,0,0.172,0.172,0.172,0,0,0
29,1,533,0.15,0.17,0.17,0,0.17,0.17,0.17,0,0,0
30,1,535,0.16,0.168,0.168,0,0.168,0.168,0.168,0,0,0
31,1,539,0.2,0.16,0.16,0,0.16,0.16,0.16,0,0,0
32,2,396,0.111,0,0.222,0,0.333,0.111,0.222,0,0,0
33,2,297,0.07,0,0.233,0,0.349,0.116,0.233,0,0,0
34,1,857,0.222,0.222,0.222,0,0.222,0,0,0.111,0,0
35,1,549,0.238,0,0.238,0,0.238,0.238,0,0.048,0,0
36,1,622,0.222,0,0.222,0,0.222,0.222,0,0.111,0,0
37,1,854,0.208,0,0.208,0,0.208,0.208,0,0.167,0,0
38,1,905,0.2,0,0.2,0,0.2,0.2,0,0.2,0,0
39,2,134,0,0.25,0.25,0.25,0.25,0,0,0,0,0
40,2,180,0.07,0.233,0.233,0.233,0.233,0,0,0,0,0
41,2,207,0.111,0.222,0.222,0.222,0.222,0,0,0,0,0
42,2,271,0.167,0.208,0.208,0.208,0.208,0,0,0,0,0
43,2,476,0.245,0.189,0.189,0.189,0.189,0,0,0,0,0
44,1,510,0.273,0.182,0.182,0.182,0.182,0,0,0,0,0
45,1,557,0.31,0.172,0.172,0.172,0.172,0,0,0,0,0
46,1,567,0.333,0.167,0.167,0.167,0.167,0,0,0,0,0
47,1,603,0.365,0.159,0.159,0.159,0.159,0,0,0,0,0
48,1,624,0.385,0.154,0.154,0.154,0.154,0,0,0,0,0
49,1,657,0.412,0.147,0.147,0.147,0.147,0,0,0,0,0
50,1,644,0.429,0.143,0.143,0.143,0.143,0,0,0,0,0
51,2,172,0,0.222,0.222,0.111,0.222,0.222,0,0,0,0
52,2,272,0.088,0.175,0.175,0.175,0.175,0.175,0,0,0.035,0
53,2,321,0.085,0.169,0.169,0.169,0.169,0.169,0,0,0.068,0
54,2,458,0.082,0.164,0.164,0.164,0.164,0.164,0,0,0.098,0
55,1,590,0.079,0.159,0.159,0.159,0.159,0.159,0,0,0.127,0
56,1,636,0.077,0.154,0.154,0.154,0.154,0.154,0,0,0.154,0
57,1,646,0.075,0.149,0.149,0.149,0.149,0.149,0,0,0.179,0
58,1,664,0.072,0.145,0.145,0.145,0.145,0.145,0,0,0.203,0
59,1,657,0.07,0.141,0.141,0.141,0.141,0.141,0,0,0.225,0
60,1,667,0.068,0.137,0.137,0.137,0.137,0.137,0,0,0.247,0
61,1,696,0.067,0.133,0.133,0.133,0.133,0.133,0,0,0.267,0
62,2,204,0.088,0.175,0.175,0.175,0.175,0.175,0,0,0,0.035
63,2,231,0.085,0.169,0.169,0.169,0.169,0.169,0,0,0,0.068
64,2,328,0.082,0.164,0.164,0.164,0.164,0.164,0,0,0,0.098
65,2,447,0.079,0.159,0.159,0.159,0.159,0.159,0,0,0,0.127
66,1,639,0.077,0.154,0.154,0.154,0.154,0.154,0,0,0,0.154
67,1,579,0.075,0.149,0.149,0.149,0.149,0.149,0,0,0,0.179
